gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912368284	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000436918	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	Tetrorchidium didymostemon		SPECIES	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.	Tetrorchidium didymostemon	(Baill.) Pax & K.Hoffm.	CM			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	6.133333	10.2			1120.0				2004-04-15T00:00	15	4	2004	3062907	3062907	PRESERVED_SPECIMEN	K	Herbarium	K000436918	1889	Cheek, M.		CC_BY_4_0		Tchiengue, B.			2025-04-15T15:20:18.275Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912166922	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000180951	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	Tetrorchidium didymostemon		SPECIES	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.	Tetrorchidium didymostemon	(Baill.) Pax & K.Hoffm.	CM	Secondary forest south of Kake 2, 10 kms. west of Kumba on Mbonge road.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	4.483333	9.566667			100.0				1986-04-07T00:00	7	4	1986	3062907	3062907	PRESERVED_SPECIMEN	K	Herbarium	K000180951	30			CC_BY_4_0		Nemba, J.			2025-04-15T15:19:50.267Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912166912	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000180946	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	Tetrorchidium didymostemon		SPECIES	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.	Tetrorchidium didymostemon	(Baill.) Pax & K.Hoffm.	CM	Opposite Bombe resthouse at Southern Bakundu Forest Reserve.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	4.5	9.5	2000.0						1959-04-16T00:00	16	4	1959	3062907	3062907	PRESERVED_SPECIMEN	K	Herbarium	K000180946	FHI  41033			CC_BY_4_0		Daramola, B., O.			2025-04-15T15:19:49.930Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912166893	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000180941	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	Tetrorchidium didymostemon		SPECIES	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.	Tetrorchidium didymostemon	(Baill.) Pax & K.Hoffm.	CM			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	4.016667	9.2	30000.0		0.0				1930-04-01T00:00	1	4	1930	3062907	3062907	PRESERVED_SPECIMEN	K	Herbarium	K000180941	1140			CC_BY_4_0		Maitland, T.D.			2025-04-15T15:19:50.160Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912087001	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000011560	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	Tetrorchidium didymostemon		SPECIES	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.	Tetrorchidium didymostemon	(Baill.) Pax & K.Hoffm.	CM			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	4.0	9.266667			150.0				1992-04-09T00:00	9	4	1992	3062907	3062907	PRESERVED_SPECIMEN	K	Herbarium	K000011560	145	Radcliffe-Smith, A.		CC_BY_4_0		Wheatley, J.I.			2025-04-15T15:19:35.324Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912086987	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000011561	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	Tetrorchidium didymostemon		SPECIES	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.	Tetrorchidium didymostemon	(Baill.) Pax & K.Hoffm.	CM			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	3.983334	9.283333			80.0				1992-04-16T00:00	16	4	1992	3062907	3062907	PRESERVED_SPECIMEN	K	Herbarium	K000011561	176	Radcliffe-Smith, A.		CC_BY_4_0		Wheatley, J.I.			2025-04-15T15:19:36.066Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912086985	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000011556	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	Tetrorchidium didymostemon		SPECIES	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.	Tetrorchidium didymostemon	(Baill.) Pax & K.Hoffm.	CM			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	3.983334	9.283333			20.0				1992-04-06T00:00	6	4	1992	3062907	3062907	PRESERVED_SPECIMEN	K	Herbarium	K000011556	1192	Radcliffe-Smith, A.		CC_BY_4_0		Sunderland, T.C.H.			2025-04-15T15:22:53.989Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912086955	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000011558	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	Tetrorchidium didymostemon		SPECIES	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.	Tetrorchidium didymostemon	(Baill.) Pax & K.Hoffm.	CM			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	4.0	9.25			50.0				1992-04-24T00:00	24	4	1992	3062907	3062907	PRESERVED_SPECIMEN	K	Herbarium	K000011558	185	Radcliffe-Smith, A.		CC_BY_4_0		Watts, J.			2025-04-15T15:19:36.450Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912041081	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/41688.000	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	Tetrorchidium didymostemon		SPECIES	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.	Tetrorchidium didymostemon	(Baill.) Pax & K.Hoffm.	NG	Ogoja		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1952-04-27T00:00	27	4	1952	3062907	3062907	PRESERVED_SPECIMEN	K	Spirit	41688.000	F.H.I.			CC_BY_4_0		Latilo, M.G.			2025-04-15T15:19:26.148Z		CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
665838688	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	https://data.rbge.org.uk/herb/E00607072	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	Tetrorchidium didymostemon		SPECIES	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.		CG	Congo:Sangha:Périphérie du Parc: 25 Km E-SE de Bomassa	Sangha	PRESENT		98e934b0-5f31-11de-b67e-b8a03c50a862	2.169444	16.405			373.0	0.0			2011-04-12	12	4	2011	3062907	3062907	PRESERVED_SPECIMEN	RBGE	E	E00607072	576			CC0	Royal Botanic Garden Edinburgh	Ndolo Ebika, Sydney Thony			2025-04-11T01:25:09.566Z	StillImage;InteractiveResource	CONTINENT_DERIVED_FROM_COORDINATES
4993514328	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:104095638	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	Tetrorchidium didymostemon		SPECIES	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.	Tetrorchidium didymostemon (Baill.) Pax & K. Hoffm.	(Baill.) Pax & K. Hoffm.	CI	Along the road from Sassandra to Monogaga. On rocky soil.	Sassandra	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	4.916667	-6.333333							1973-04-12	12	4	1973	3062907	3062907	PRESERVED_SPECIMEN	MO	Tropicos	104095638	1441	Koning, J. de	1974-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	J. de Koning			2025-02-13T18:49:36.709Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4993510841	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:103954293	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	Tetrorchidium didymostemon		SPECIES	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.	Tetrorchidium didymostemon (Baill.) Pax & K. Hoffm.	(Baill.) Pax & K. Hoffm.	CD	Lubutu.	Maniema	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	-0.733333	26.583333							1972-04-03	3	4	1972	3062907	3062907	PRESERVED_SPECIMEN	MO	Tropicos	103954293	3622	Breteler, F.J.	2005-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	J. Bokdam			2025-02-13T18:49:37.101Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4993506103	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:104055753	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	Tetrorchidium didymostemon		SPECIES	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.	Tetrorchidium didymostemon (Baill.) Pax & K. Hoffm.	(Baill.) Pax & K. Hoffm.	CM	Mujung.		PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	6.133333	10.2			1120.0				2004-04-15	15	4	2004	3062907	3062907	PRESERVED_SPECIMEN	MO	Tropicos	104055753	1889	Cheek, M.R.	2007-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	B. Tchiengue			2025-02-13T18:49:28.289Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4993486331	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:104095637	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	Tetrorchidium didymostemon		SPECIES	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.	Tetrorchidium didymostemon (Baill.) Pax & K. Hoffm.	(Baill.) Pax & K. Hoffm.	CI	Along the road from Sassandra to Monogaga. On rocky soil.	Sassandra	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	4.916667	-6.333333							1973-04-12	12	4	1973	3062907	3062907	PRESERVED_SPECIMEN	BR	Tropicos	104095637	1441	Koning, J. de	1974-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	J. de Koning			2025-02-13T17:30:52.157Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;AMBIGUOUS_INSTITUTION
4993478237	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:104095636	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	Tetrorchidium didymostemon		SPECIES	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.	Tetrorchidium didymostemon (Baill.) Pax & K. Hoffm.	(Baill.) Pax & K. Hoffm.	CI	Along the road from Sassandra to Monogaga. On rocky soil.	Sassandra	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	4.916667	-6.333333							1973-04-12	12	4	1973	3062907	3062907	PRESERVED_SPECIMEN	WAG	Tropicos	104095636	1441	Koning, J. de	1974-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	J. de Koning			2025-02-13T17:30:52.104Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4993460123	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:104055755	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	Tetrorchidium didymostemon		SPECIES	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.	Tetrorchidium didymostemon (Baill.) Pax & K. Hoffm.	(Baill.) Pax & K. Hoffm.	CM	Mujung.		PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	6.133333	10.2			1120.0				2004-04-15	15	4	2004	3062907	3062907	PRESERVED_SPECIMEN	YA	Tropicos	104055755	1889	Cheek, M.R.	2007-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	B. Tchiengue			2025-02-13T17:30:50.138Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4993412818	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:103954292	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	Tetrorchidium didymostemon		SPECIES	Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm.	Tetrorchidium didymostemon (Baill.) Pax & K. Hoffm.	(Baill.) Pax & K. Hoffm.	CD	Lubutu.	Maniema	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	-0.733333	26.583333							1972-04-03	3	4	1972	3062907	3062907	PRESERVED_SPECIMEN	WAG	Tropicos	103954292	3622	Breteler, F.J.	2005-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	J. Bokdam			2025-02-13T17:30:43.114Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
