"gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue",,,,,,,
"4130400300	833db434-f762-11e1-a439-00145eb45e9a	AAU-Herbarium-H.B.Pedersen104404	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trichistandra (A.Gray)Bakh.		EC	Jipijapa-Pto.  Cayo road km 8.  Dry decidous forest.	Manabi	PRESENT		8e1a97a0-3ca8-11d9-8439-b8a03c50a862	-1.366	-80.583	2000.0		250.0	0.0			1995-07-26	26	7	1995	8382405	8382405	PRESERVED_SPECIMEN	AU	AAU	H.B.Pedersen104404				CC_BY_4_0		H.B. Pedersen			2024-01-25T09:56:48.542Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,,,,
"4130394856	833db434-f762-11e1-a439-00145eb45e9a	AAU-Herbarium-J.E.Madsen63808	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trichistandra (A.Gray)Bakh.		EC	Isla PunÃ¡. Path Campo Alegre to midway PunÃ¡ Vieja (e.g. to Pampa Larga). Dry forest with scattered"," deciduous trees and shrubs.	Guayas	PRESENT		8e1a97a0-3ca8-11d9-8439-b8a03c50a862	-2.816	-80.133	2000.0						1987-07-07	7	7	1987	8382405	8382405	PRESERVED_SPECIMEN	AU	AAU	J.E.Madsen63808				CC_BY_4_0		J.E. Madsen			2024-01-25T09:56:55.005Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,,,
"4130390818	833db434-f762-11e1-a439-00145eb45e9a	AAU-Herbarium-J.E.Madsen63631	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trichistandra (A.Gray)Bakh.		EC	Isla PunÃ¡. Campo Alegre to Cauchiche. Xerophytic thickets and dry forest with Ceiba trichistandra. Now overgrown with flowering vines"," rather undisturbed.	Guayas	PRESENT		8e1a97a0-3ca8-11d9-8439-b8a03c50a862	-2.8	-80.133	2000.0						1987-06-08	8	6	1987	8382405	8382405	PRESERVED_SPECIMEN	AU	AAU	J.E.Madsen63631				CC_BY_4_0		J.E. Madsen			2024-01-25T09:56:45.053Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,,,
"4130387166	833db434-f762-11e1-a439-00145eb45e9a	AAU-Herbarium-L.P.Kvist40124	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trichistandra (A.Gray)Bakh.		EC	Disturbed Ceiba-forest close to Puertoviejo.	Manabi	PRESENT		8e1a97a0-3ca8-11d9-8439-b8a03c50a862	-1.033	-80.516	2000.0		100.0	0.0			1982-06-06	6	6	1982	8382405	8382405	PRESERVED_SPECIMEN	AU	AAU	L.P.Kvist40124				CC_BY_4_0		L.P. Kvist			2024-01-25T09:56:53.489Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,,,,
"4077759663	b5a8e29d-cd8c-4e04-90b2-422d900caab6	2e38f8dc-0d53-42ef-a31c-fcdc6d27b4da	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra	(A.Gray) Bakh.	EC		Manabi	PRESENT		33d232b5-5cc2-4521-8bd6-121c5bb41c32	-1.0167	-80.7833			300.0				1997-06-02	2	6	1997	8382405	8382405	PRESERVED_SPECIMEN	LOJA	LOJA-VASCULARES	11939	10702	David A. Neill	1990-01-01T00:00:00	CC_BY_NC_4_0	Herbario LOJA	David Neill			2024-01-24T23:47:31.487Z		RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_ID_IGNORED",,,,,,,
"4073239120	b740eaa0-0679-41dc-acb7-990d562dfa37	http://www.botanicalcollections.be/specimen/BR0000027970119	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra Bakh.		EC	Guayas: Guayaquil"," single tree on shore of Estero Salado near the bridge of the highway to Salinas		PRESENT		a344ee9f-f1b7-4761-be2c-58ee6d741395									1955-06-12	12	6	1955	8382405	8382405	PRESERVED_SPECIMEN	MeiseBG	BR	BR0000027970119	16607			CC_BY_4_0	Meise Botanic Garden	Asplund E.			2024-12-08T15:52:34.526Z	InteractiveResource;StillImage	CONTINENT_DERIVED_FROM_COUNTRY",,,,,,
"4072842355	b740eaa0-0679-41dc-acb7-990d562dfa37	http://www.botanicalcollections.be/specimen/BR0000027970102	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra Bakh.		EC	MANABÃ: Portoviejo		PRESENT		a344ee9f-f1b7-4761-be2c-58ee6d741395									1968-05-13	13	5	1968	8382405	8382405	PRESERVED_SPECIMEN	MeiseBG	BR	BR0000027970102	9500			CC_BY_4_0	Meise Botanic Garden	G. Harling"," G. Storm & B. StrÃ¶m			2024-12-08T15:50:40.895Z	InteractiveResource;StillImage	CONTINENT_DERIVED_FROM_COUNTRY",,,,,,
"4072741388	b740eaa0-0679-41dc-acb7-990d562dfa37	http://www.botanicalcollections.be/specimen/BR0000027970089	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra Bakh.		EC	MANABÃ: Portoviejo-Jipijapa Road"," c. 1 km S of La Pila		PRESENT		a344ee9f-f1b7-4761-be2c-58ee6d741395									1985-05-04	4	5	1985	8382405	8382405	PRESERVED_SPECIMEN	MeiseBG	BR	BR0000027970089	24820			CC_BY_4_0	Meise Botanic Garden	G. Harling & L. Andersson			2024-12-08T15:52:36.291Z	StillImage;InteractiveResource	CONTINENT_DERIVED_FROM_COUNTRY",,,,,,
"4061566951	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:102272658	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	EC	pr. Catamayo", Cajanuma," ladera con Croton y Acacia	Loja	PRESENT	3	90fd6680-349f-11d8-aa2d-b8a03c50a862	-4.09638	-79.36138			1390.0				2006-07-24	24	7	2006	8382405	8382405	PRESERVED_SPECIMEN	MA	Tropicos	102272658	13160			CC_BY_4_0	Missouri Botanical Garden	Carlos Aedo;L. GutiÃ©rrez;Carmen Ulloa			2025-01-25T18:15:13.487Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE",,,,,
"4031981774	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:101839331	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	EC	Chacras de Manta"," on road from Manta to San Lorenzo. Very dry tropical forest on ridges.	ManabÃ­	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	-1.03333	-80.8			100.0				1999-05-08	8	5	1999	8382405	8382405	PRESERVED_SPECIMEN	MO	Tropicos	101839331	11875	D.A. Neill	1999-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	David A. Neill;QCNE Botany Interns			2025-01-25T19:30:16.299Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,,,,,
"4031686221	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:102272659	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	EC	pr. Catamayo", Cajanuma," ladera con Croton y Acacia	Loja	PRESENT	3	90fd6680-349f-11d8-aa2d-b8a03c50a862	-4.09638	-79.36138			1390.0				2006-07-24	24	7	2006	8382405	8382405	PRESERVED_SPECIMEN	MO	Tropicos	102272659	13160			CC_BY_4_0	Missouri Botanical Garden	Carlos Aedo;L. GutiÃ©rrez;Carmen Ulloa			2025-01-25T19:30:27.685Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,,,,
"4031526817	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:101666253	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	EC		ManabÃ­	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862					50.0				1991-05-07	7	5	1991	8382405	8382405	PRESERVED_SPECIMEN	MO	Tropicos	101666253	122			CC_BY_4_0	Missouri Botanical Garden	Jette T. Knudsen;L. Tollsten			2025-01-25T19:28:07.001Z		TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,,,,,,
"4031459729	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:101753939	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	EC	14 km southwest of Manta on new road to San Lorenzo. Tropical Dry Forest scrub formation dominated by Ceiba trichistandra", Eriotheca ruizii," and columnar cacti.	ManabÃ­	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	-1.01666	-80.78333			300.0				1997-06-02	2	6	1997	8382405	8382405	PRESERVED_SPECIMEN	MO	Tropicos	101753939	10702	D.A. Neill	1997-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	David A. Neill;Mercedes Asanza			2025-01-25T19:30:22.038Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,,,,
"4031363343	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:101461039	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	EC	Disturbed Ceiba-forest close to Puertoviejo.	Pichincha	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	-1.03333	-80.51666			100.0				1982-06-04	4	6	1982	8382405	8382405	PRESERVED_SPECIMEN	MO	Tropicos	101461039	40124			CC_BY_4_0	Missouri Botanical Garden	Lars P. Kvist;L.B. Holm-Nielsen			2025-01-25T19:30:11.235Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,,,,,,
"2859357706	f3f03cbf-1a01-4739-ae15-c1355b8c2dbf	2F7C40BC-A6F0-4574-AE06-B1B758A04B42	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra		PE	contralmirante Villar Province Casitas", Parque Nacional Cerro de Amotape," Quebrada del PlÃ¡tano	Tumbes	PRESENT		c1da06f0-580e-11dc-8a9e-b8a03c50a862									1990-05-03	3	5	1990	8382405	8382405	PRESERVED_SPECIMEN	CM	botany	CM370680	4048			CC0_1_0	Carnegie Museum of Natural History	DÃ­az", C.; PeÃ±a," E.			2025-01-24T00:01:34.928Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,
"2517196122	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/U.1380823	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A.Gray) Bakh.	(A.Gray) Bakh.	PE	Vegetation del Peru. Kusthalbwuste und Trockenwaldregion Nordperus", Regenz. Regengruner Wald," 50 m. alt. N.von Tumbes.		PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862									1957-05-13	13	5	1957	8382405	8382405	PRESERVED_SPECIMEN		Botany	U.1380823	Ellenberg"," H 1382			CC0_1_0	Naturalis Biodiversity Center	Ellenberg H			2024-11-01T10:27:57.539Z	StillImage	",,,,
"2517186015	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/U.1380822	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A.Gray) Bakh.	(A.Gray) Bakh.	PE	Vegetation del Peru. Kustenhalbwuste und Trokcenwaldregion Nordperus", Regenz. Halbimmergruner Wald. Canchaque," ca. 10 Km sudl.		PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862									1957-05-26	26	5	1957	8382405	8382405	PRESERVED_SPECIMEN		Botany	U.1380822	Ellenberg"," H 1612			CC0_1_0	Naturalis Biodiversity Center	Ellenberg H			2024-11-01T10:29:20.752Z	StillImage	",,,,
"1936662531	834c9918-f762-11e1-a439-00145eb45e9a	5e583083-20fe-11e3-9e2e-000c29035824	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trichistandra		EC	Loja"," pr. Catamayo		PRESENT		0363cbd4-f666-455e-8e86-0bbddcf51950	-4.0964	-79.3614							2006-07-24	24	7	2006	8382405	8382405	PRESERVED_SPECIMEN	MA	MA	MA-01-00745463	13160			CC_BY_NC_4_0		C. Aedo"," L. GutiÃ©rrez & C. Ulloa			2024-04-09T06:13:06.486Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,,
